"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1644","test_login_excel[data1]","test_cases","2026-05-07","passed","2026-05-07","","test_ddt_login_page","",""
"","5984","test_product_page","test_cases","2026-05-07","passed","2026-05-07","","test_product_page","",""
"","1390","test_login_csv[data0]","test_cases","2026-05-07","passed","2026-05-07","","test_ddt_login_page","",""
"","2266","test_login_json[data1]","test_cases","2026-05-07","passed","2026-05-07","","test_ddt_login_page","",""
"","1742","test_srp_page","test_cases","2026-05-07","passed","2026-05-07","","test_srp_page","",""
"","1283","test_login_excel[data0]","test_cases","2026-05-07","passed","2026-05-07","","test_ddt_login_page","",""
"","1010","test_register","test_cases","2026-05-07","passed","2026-05-07","","test_homepage","",""
"","8964","test_shopping_cart","test_cases","2026-05-07","passed","2026-05-07","","test_shopping_cart","",""
"","1851","test_search_box","test_cases","2026-05-07","passed","2026-05-07","","test_homepage","",""
"","2835","test_register_page","test_cases","2026-05-07","passed","2026-05-07","","test_registration_page","",""
"","1444","test_valid_login","test_cases","2026-05-07","passed","2026-05-07","","test_login","",""
"","5540","test_checkout_page","test_cases","2026-05-07","passed","2026-05-07","","test_checkout_page","",""
"","26483","test_checkout_page[data0]","test_cases","2026-05-07","passed","2026-05-07","","test_checkout_page","",""
"","1004","test_my_account","test_cases","2026-05-07","passed","2026-05-07","","test_homepage","",""
"","1734","test_invalid_login","test_cases","2026-05-07","passed","2026-05-07","","test_login","",""
"","1619","test_login_csv[data1]","test_cases","2026-05-07","passed","2026-05-07","","test_ddt_login_page","",""
"","1240","test_login_json[data0]","test_cases","2026-05-07","passed","2026-05-07","","test_ddt_login_page","",""
